Trait Domain,Category ID,Category Name,Field ID,Field Name,Column Codes,Type,Notes,Covariates adjusted,N,Prevalence,h2,SE,,Female N,Prev in Female,Female h2,Female SE,Male N,Prev in Male,Male h2,Male SE,,SES Quantile 0-12/36,SES Quantile 1/36-13/36,SES Quantile 2/36-14/36,SES Quantile 3/36-15/36,SES Quantile 4/36-16/36,SES Quantile 5/36-17/36,SES Quantile 6/36-18/36,SES Quantile 7/36-19/36,SES Quantile 8/36-20/36,SES Quantile 9/36-21/36,SES Quantile 10/36-22/36,SES Quantile 11/36-23/36,SES Quantile 12/36-24/36,SES Quantile 13/36-25/36,SES Quantile 14/36-26/36,SES Quantile 15/36-27/36,SES Quantile 16/36-28/36,SES Quantile 17/36-29/36,SES Quantile 18/36-30/36,SES Quantile 19/36-31/36,SES Quantile 20/36-32/36,SES Quantile 21/36-33/36,SES Quantile 22/36-34/36,SES Quantile 23/36-35/36,SES Quantile 24/36-1
Health and Medical History,100046,Mouth,6149,Mouth/teeth dental problems,6149-0.0~6149-0.5,categorical,had bleeding gums or not,"assessment center, age, sex, top 10 PCs, genotyping array",107848,12.57%,0.0879,0.0097,,56988,14.59%,0.0810,0.0166,50860,10.31%,0.0741,0.0224,,0.0488,0.0586,0.0784,0.0638,0.0576,0.0614,0.0712,0.0777,0.0828,0.1045,0.1093,0.0991,0.0918,0.0946,0.0786,0.0638,0.0513,0.0703,0.0718,0.0760,0.0815,0.0982,0.1374,0.1407,0.1390
Health and Medical History,100046,Mouth,6149,Mouth/teeth dental problems,6149-0.0~6149-0.5,categorical,had loose teeth or not,"assessment center, age, sex, top 10 PCs, genotyping array",107848,4.38%,0.0518,0.0183,,56988,4.27%,0.0175,0.0345,50860,4.50%,0.0564,0.0374,,0.0638,0.0701,0.1274,0.1728,0.1369,0.1014,0.1351,0.1169,0.0849,0.0431,0.0354,0.0347,0.0217,0.0599,0.0109,0.0206,0.0111,0.0861,0.0721,0.0854,0.0643,0.0617,0.0350,0.0567,0.0195
Health and Medical History,100046,Mouth,6149,Mouth/teeth dental problems,6149-0.0~6149-0.5,categorical,had toothache or not,"assessment center, age, sex, top 10 PCs, genotyping array",107848,3.89%,0.0529,0.0198,,56988,3.51%,0.0495,0.0393,50860,4.31%,0.0395,0.0385,,0.0772,0.0678,0.0471,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0265,0.0000,0.0674,0.0623,0.0332,0.0958,0.0752,0.0666,0.0938,0.1144,0.0975,0.1622,0.1662,0.1063,0.0576,0.0515
Health and Medical History,100048,Pain,2956,General pain for 3+ months,2956-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107954,1.32%,0.1386,0.0426,,57032,1.53%,0.1563,0.0707,50922,1.08%,0.2027,0.1025,,0.3790,0.3734,0.2944,0.2772,0.2580,0.0176,0.0083,0.0522,0.0000,0.0000,0.0012,0.0350,0.0431,0.0920,0.0404,0.1241,0.1487,0.1570,0.1876,0.2631,0.2788,0.1716,0.1300,0.0958,0.1203
Health and Medical History,100048,Pain,3404,Neck/shoulder pain for 3+ months,3404-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107744,15.92%,0.0771,0.0086,,56923,17.58%,0.0764,0.0151,50821,14.07%,0.1002,0.0190,,0.0868,0.0959,0.0926,0.1028,0.1067,0.1011,0.0884,0.0872,0.1046,0.0983,0.0887,0.0952,0.0754,0.0631,0.0563,0.0556,0.0497,0.0398,0.0603,0.0608,0.0612,0.0602,0.0999,0.0786,0.0870
Health and Medical History,100048,Pain,3414,Hip pain for 3+ months,3414-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107839,9.08%,0.0970,0.0116,,56970,10.66%,0.1160,0.0196,50869,7.31%,0.0958,0.0275,,0.0565,0.0848,0.0462,0.0320,0.0533,0.0847,0.0880,0.1006,0.0832,0.0556,0.0579,0.0647,0.0774,0.0806,0.0735,0.0798,0.0681,0.0575,0.0892,0.0608,0.0613,0.0661,0.0969,0.1039,0.1088
Health and Medical History,100048,Pain,3571,Back pain for 3+ months,3571-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107746,17.55%,0.0775,0.0082,,56922,17.98%,0.0926,0.0150,50824,17.07%,0.0804,0.0172,,0.0399,0.0565,0.0620,0.0818,0.1045,0.1224,0.0992,0.1001,0.0721,0.0915,0.0859,0.0927,0.0976,0.0802,0.0822,0.0714,0.0676,0.0766,0.0830,0.0804,0.0599,0.0376,0.0655,0.0735,0.0711
Health and Medical History,100048,Pain,3741,Stomach/abdominal pain for 3+ months,3741-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107775,4.68%,0.1034,0.0175,,56923,5.40%,0.1022,0.0296,50852,3.88%,0.1278,0.0413,,0.1750,0.1150,0.1479,0.1159,0.1139,0.1026,0.0861,0.0446,0.0671,0.0588,0.1133,0.1002,0.0517,0.0420,0.0993,0.1074,0.0927,0.0951,0.1145,0.0846,0.0833,0.1220,0.1162,0.1468,0.1393
Health and Medical History,100048,Pain,3773,Knee pain for 3+ months,3773-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107795,17.05%,0.0880,0.0083,,56961,16.84%,0.0702,0.0154,50834,17.29%,0.0745,0.0171,,0.1114,0.0881,0.0968,0.0838,0.1008,0.0788,0.0679,0.0882,0.1112,0.1147,0.1277,0.1103,0.1203,0.1075,0.1153,0.1066,0.1046,0.0803,0.0548,0.0495,0.0305,0.0352,0.0494,0.0549,0.0645
Health and Medical History,100048,Pain,3799,Headaches for 3+ months,3799-0.0,binary,"condition on Field 6159, use controls in Field 6159 ","assessment center, age, sex, top 10 PCs, genotyping array",107527,8.74%,0.1141,0.0119,,56767,11.54%,0.1145,0.0189,50760,5.60%,0.0955,0.0325,,0.1867,0.1713,0.2016,0.1793,0.1511,0.1288,0.1272,0.1707,0.2198,0.2119,0.1487,0.1397,0.1399,0.1504,0.1561,0.1338,0.1148,0.1013,0.0901,0.0767,0.0475,0.0479,0.0764,0.0972,0.0692
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had headache or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,19.66%,0.1375,0.0077,,57039,23.33%,0.1094,0.0133,50933,15.55%,0.1548,0.0180,,0.1626,0.1371,0.1530,0.1439,0.1398,0.1039,0.1166,0.1317,0.1296,0.1382,0.1269,0.1514,0.1338,0.1620,0.1998,0.1558,0.1406,0.1390,0.1723,0.1661,0.1667,0.1428,0.1275,0.1168,0.0987
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had facial pain or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,1.80%,0.0999,0.0339,,57039,2.39%,0.1308,0.0513,50933,1.14%,0.0902,0.0984,,0.1580,0.1578,0.0835,0.1009,0.1536,0.0766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0241,0.0640,0.1298,0.1550,0.1133,0.0830
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had neck or shoulder pain or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,23.22%,0.0647,0.0072,,57039,24.29%,0.0599,0.0131,50933,22.02%,0.0870,0.0153,,0.0820,0.0688,0.0638,0.0604,0.0602,0.0554,0.0555,0.0490,0.0561,0.0601,0.0656,0.0739,0.0606,0.0607,0.0599,0.0609,0.0570,0.0476,0.0585,0.0539,0.0565,0.0446,0.0615,0.0502,0.0414
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had back pain or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,25.77%,0.0694,0.0069,,57039,25.20%,0.0838,0.0129,50933,26.42%,0.0738,0.0142,,0.0515,0.0668,0.0810,0.0874,0.1022,0.1061,0.0972,0.0887,0.0642,0.0774,0.0703,0.0697,0.0834,0.0819,0.0764,0.0635,0.0518,0.0731,0.0932,0.1007,0.0978,0.0751,0.0776,0.0668,0.0507
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had stomach or abdominal pain or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,8.53%,0.0656,0.0120,,57039,9.66%,0.0636,0.0208,50933,7.26%,0.0818,0.0275,,0.1035,0.0785,0.0919,0.0968,0.1118,0.0957,0.0989,0.0699,0.0772,0.0490,0.0693,0.0662,0.0475,0.0233,0.0472,0.0642,0.0437,0.0164,0.0283,0.0407,0.0491,0.0467,0.0466,0.0444,0.0358
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had hip pain or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,11.69%,0.0848,0.0101,,57039,13.39%,0.1065,0.0173,50933,9.79%,0.0747,0.0231,,0.0657,0.0955,0.0750,0.0783,0.0838,0.1100,0.1148,0.1248,0.1044,0.0922,0.0861,0.0971,0.0968,0.0947,0.0820,0.0732,0.0620,0.0458,0.0792,0.0622,0.0590,0.0661,0.0935,0.0872,0.0852
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had knee pain or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,21.66%,0.0691,0.0074,,57039,21.02%,0.0583,0.0139,50933,22.38%,0.0531,0.0152,,0.0628,0.0317,0.0492,0.0483,0.0557,0.0441,0.0475,0.0620,0.0710,0.0909,0.1016,0.1044,0.1080,0.0901,0.0849,0.0989,0.1017,0.0956,0.0706,0.0540,0.0428,0.0376,0.0307,0.0422,0.0468
Health and Medical History,100048,Pain,6159,Pain type(s) experienced in last month,6159-0.0~6159-0.6,categorical,had pain all over the body or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,1.60%,0.1584,0.0369,,57039,1.81%,0.1117,0.0626,50933,1.36%,0.2608,0.0862,,0.1235,0.1666,0.1886,0.1856,0.2143,0.0408,0.0535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0253,0.1073,0.0591,0.0859,0.0863,0.1244,0.1710,0.2047,0.2434,0.2174,0.1590,0.1336,0.1351
Physical Measures,100049,Hearing test,20019,Speech-reception-threshold (SRT) estimate (left),20019-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",33527,NA,0.0315,0.0118,,17615,NA,0.0265,0.0225,15912,NA,0.0548,0.0249,,0.1601,0.0751,0.0328,0.0547,0.0362,0.0416,0.0286,0.0000,0.0000,0.0000,0.0000,0.0121,0.0000,0.0020,0.0042,0.0000,0.0000,0.0076,0.0089,0.0031,0.0300,0.0348,0.0154,0.0136,0.0007
Physical Measures,100049,Hearing test,20021,Speech-reception-threshold (SRT) estimate (right),20021-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",33535,NA,0.0245,0.0118,,17607,NA,0.0109,0.0225,15928,NA,0.0120,0.0249,,0.0626,0.0566,0.0426,0.0183,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0113,0.0399,0.0408,0.0377,0.0457,0.0395,0.0437,0.0332,0.0227,0.0126,0.0252,0.0203
Life Style and Environment,100051,Alcohol,1558,Alcohol intake frequency,1558-0.0,categorical,>= once or twice a week or not,"assessment center, age, sex, top 10 PCs, genotyping array",108086,71.09%,0.1172,0.0066,,57122,63.82%,0.1179,0.0114,50964,79.24%,0.1002,0.0157,,0.1049,0.1044,0.1192,0.1251,0.1219,0.1046,0.1000,0.0964,0.1058,0.0932,0.0943,0.1014,0.1270,0.1229,0.1303,0.1305,0.1229,0.1297,0.1414,0.1281,0.1291,0.1214,0.1168,0.1157,0.1236
Life Style and Environment,100051,Alcohol,20117,Alcohol drinker status,20117-0.0,categorical,previous/current drinker vs. never,"assessment center, age, sex, top 10 PCs, genotyping array",108086,96.72%,0.0798,0.0222,,57122,95.45%,0.0616,0.0330,50964,98.15%,0.1703,0.0690,,0.1502,0.1807,0.1417,0.0879,0.1464,0.0642,0.0692,0.0261,0.0990,0.1074,0.1219,0.1058,0.0719,0.0587,0.0740,0.0887,0.0517,0.0697,0.0891,0.0647,0.1026,0.0843,0.0694,0.0918,0.0940
Life Style and Environment,100052,Diet,1289,Cooked vegetable intake,1289-0.0,continuous,set <1 to 1,"assessment center, age, sex, top 10 PCs, genotyping array",106652,NA,0.0508,0.0038,,56588,NA,0.0389,0.0070,50064,NA,0.0521,0.0079,,0.0309,0.0465,0.0368,0.0450,0.0423,0.0424,0.0303,0.0338,0.0447,0.0439,0.0558,0.0526,0.0553,0.0485,0.0541,0.0521,0.0438,0.0434,0.0395,0.0416,0.0525,0.0585,0.0593,0.0640,0.0633
Life Style and Environment,100052,Diet,1299,Salad / raw vegetable intake,1299-0.0,continuous,set <1 to 1,"assessment center, age, sex, top 10 PCs, genotyping array",106483,NA,0.0501,0.0038,,56468,NA,0.0656,0.0070,50015,NA,0.0375,0.0079,,0.0305,0.0352,0.0440,0.0430,0.0529,0.0458,0.0594,0.0557,0.0404,0.0368,0.0396,0.0283,0.0352,0.0247,0.0214,0.0256,0.0202,0.0248,0.0325,0.0476,0.0594,0.0613,0.0588,0.0632,0.0562
Life Style and Environment,100052,Diet,1309,Fresh fruit intake,1309-0.0,continuous,set <1 to 1,"assessment center, age, sex, top 10 PCs, genotyping array",107473,NA,0.0703,0.0038,,56850,NA,0.0700,0.0070,50623,NA,0.0756,0.0079,,0.0639,0.0716,0.0725,0.0817,0.0740,0.0763,0.0842,0.0857,0.0820,0.1015,0.0986,0.0879,0.0761,0.0739,0.0680,0.0613,0.0763,0.0747,0.0669,0.0624,0.0608,0.0599,0.0614,0.0640,0.0630
Life Style and Environment,100052,Diet,1319,Dried fruit intake,1319-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107178,43.63%,0.1258,0.0060,,56681,48.85%,0.1508,0.0110,50497,37.78%,0.1100,0.0128,,0.1182,0.1380,0.1263,0.1106,0.1185,0.1075,0.1129,0.1148,0.1322,0.1201,0.1163,0.1132,0.1004,0.1041,0.1185,0.1211,0.1346,0.1482,0.1435,0.1410,0.1333,0.1544,0.1490,0.1326,0.1430
Life Style and Environment,100052,Diet,1329,Oily fish intake,1329-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107674,88.73%,0.1989,0.0103,,56962,88.99%,0.2397,0.0193,50712,88.44%,0.1383,0.0211,,0.1253,0.1800,0.1841,0.1549,0.1667,0.1973,0.1951,0.1681,0.1609,0.2019,0.2257,0.2125,0.1867,0.1839,0.1961,0.2176,0.1904,0.1688,0.1592,0.1865,0.2097,0.2123,0.2247,0.2104,0.1953
Life Style and Environment,100052,Diet,1339,Non-oily fish intake,1339-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107763,95.78%,0.1800,0.0188,,56988,95.51%,0.2331,0.0334,50775,96.07%,0.0826,0.0410,,0.0483,0.0791,0.1420,0.1701,0.1606,0.1146,0.1096,0.1082,0.1517,0.2173,0.3049,0.2702,0.2598,0.2837,0.1996,0.2052,0.1735,0.1641,0.1570,0.1523,0.1822,0.2271,0.2399,0.1828,0.1168
Life Style and Environment,100052,Diet,1349,Processed meat intake,1349-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",108001,92.05%,0.1001,0.0126,,57079,88.83%,0.1003,0.0191,50922,95.67%,0.1412,0.0383,,0.0644,0.0808,0.0740,0.1052,0.1110,0.1275,0.1370,0.1672,0.1488,0.1027,0.1067,0.0937,0.0759,0.0683,0.0763,0.0811,0.1158,0.1031,0.0752,0.0848,0.0989,0.0697,0.0951,0.1172,0.1072
Life Style and Environment,100052,Diet,1359,Poultry intake,1359-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107980,95.39%,0.1112,0.0177,,57077,94.42%,0.0916,0.0290,50903,96.47%,0.1228,0.0439,,0.0856,0.0587,0.0440,0.0778,0.0754,0.0834,0.0784,0.1293,0.1363,0.0979,0.1469,0.1342,0.1176,0.1139,0.1361,0.1558,0.1257,0.0516,0.0015,0.0299,0.0795,0.0689,0.0963,0.1441,0.1110
Life Style and Environment,100052,Diet,1369,Beef intake,1369-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107799,90.72%,0.0929,0.0115,,56977,88.22%,0.0877,0.0186,50822,93.52%,0.1131,0.0296,,0.0804,0.0803,0.0791,0.0945,0.1235,0.0852,0.1157,0.1311,0.1357,0.1174,0.1545,0.1248,0.1251,0.1053,0.0757,0.0938,0.1021,0.0602,0.0519,0.0376,0.0455,0.0485,0.0326,0.0586,0.0714
Life Style and Environment,100052,Diet,1379,Lamb/mutton intake,1379-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107565,82.70%,0.0986,0.0082,,56896,79.98%,0.0950,0.0142,50669,85.75%,0.0968,0.0189,,0.1049,0.1089,0.0923,0.0825,0.0688,0.0608,0.0803,0.0848,0.0843,0.0773,0.0918,0.0831,0.0816,0.0952,0.0825,0.0852,0.0887,0.0760,0.0684,0.0788,0.0814,0.0931,0.0715,0.0711,0.0688
Life Style and Environment,100052,Diet,1389,Pork intake,1389-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107601,85.09%,0.0717,0.0089,,56896,81.90%,0.0493,0.0149,50705,88.67%,0.0892,0.0214,,0.0410,0.0498,0.0759,0.1055,0.1033,0.0986,0.1004,0.1039,0.1256,0.1125,0.1325,0.1192,0.1118,0.0819,0.0718,0.0477,0.0513,0.0350,0.0347,0.0410,0.0507,0.0540,0.0417,0.0600,0.0651
Life Style and Environment,100052,Diet,1408,Cheese intake,1408-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",105690,97.29%,0.1111,0.0259,,55805,97.41%,0.0815,0.0495,49885,97.17%,0.0969,0.0521,,0.0059,0.0322,0.0342,0.0843,0.0646,0.0701,0.0452,0.0000,0.0429,0.0384,0.1093,0.2089,0.2153,0.1412,0.1870,0.1496,0.1423,0.1692,0.0993,0.1740,0.1621,0.2001,0.1473,0.1360,0.1513
Life Style and Environment,100052,Diet,1438,Bread intake,1438-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",106778,NA,0.0558,0.0038,,56542,NA,0.0578,0.0070,50236,NA,0.0598,0.0079,,0.0532,0.0545,0.0645,0.0717,0.0719,0.0689,0.0697,0.0614,0.0735,0.0728,0.0728,0.0675,0.0654,0.0514,0.0483,0.0627,0.0620,0.0663,0.0518,0.0442,0.0484,0.0576,0.0432,0.0399,0.0272
Life Style and Environment,100052,Diet,1458,Cereal intake,1458-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107914,87.13%,0.0840,0.0095,,57030,87.91%,0.0569,0.0183,50884,86.25%,0.1237,0.0192,,0.0773,0.0827,0.0688,0.0601,0.0700,0.0827,0.0555,0.0829,0.0852,0.0640,0.0751,0.0609,0.0648,0.0650,0.0804,0.0752,0.0929,0.0743,0.0650,0.0412,0.0506,0.0526,0.0444,0.0351,0.0802
Life Style and Environment,100052,Diet,1478,Salt added to food,1478-0.0,categorical,intake vs. never/rarely,"assessment center, age, sex, top 10 PCs, genotyping array",108146,44.35%,0.1153,0.0059,,57147,42.34%,0.1069,0.0111,50999,46.60%,0.1339,0.0123,,0.1143,0.1125,0.1114,0.1122,0.1009,0.0987,0.1155,0.1230,0.1408,0.1388,0.1491,0.1252,0.1265,0.1166,0.1063,0.0993,0.0904,0.0889,0.0921,0.0833,0.0793,0.0657,0.0800,0.0853,0.1039
Life Style and Environment,100052,Diet,1488,Tea intake,1488-0.0,continuous,set <1 to 1,"assessment center, age, sex, top 10 PCs, genotyping array",107549,NA,0.0615,0.0038,,56882,NA,0.0590,0.0070,50667,NA,0.0577,0.0078,,0.0445,0.0420,0.0535,0.0571,0.0596,0.0500,0.0471,0.0431,0.0405,0.0495,0.0528,0.0535,0.0622,0.0640,0.0706,0.0734,0.0888,0.0840,0.0752,0.0669,0.0766,0.0689,0.0637,0.0659,0.0575
Life Style and Environment,100052,Diet,1498,Coffee intake,1498-0.0,categorical,intake or not,"assessment center, age, sex, top 10 PCs, genotyping array",107972,78.64%,0.0917,0.0074,,57069,76.97%,0.0871,0.0134,50903,80.51%,0.1109,0.0161,,0.1016,0.1117,0.1240,0.1132,0.1146,0.0868,0.0690,0.0641,0.0583,0.0682,0.0765,0.0796,0.0976,0.0915,0.0956,0.0962,0.0809,0.0714,0.0646,0.0427,0.0623,0.0749,0.0614,0.0849,0.0806
Life Style and Environment,100052,Diet,1498 & 1508,Coffee intake & Coffee type,1498-0.0 & 1508-0.0,categorical,"coffee intake or not, excluding decaffeinated coffee","assessment center, age, sex, top 10 PCs, genotyping array",107972,63.33%,0.0578,0.0062,,57069,59.11%,0.0656,0.0111,50903,68.05%,0.0596,0.0133,,0.0620,0.0615,0.0648,0.0531,0.0485,0.0425,0.0402,0.0632,0.0423,0.0548,0.0705,0.0693,0.0632,0.0585,0.0608,0.0462,0.0320,0.0317,0.0158,0.0213,0.0311,0.0432,0.0341,0.0598,0.0552
Life Style and Environment,100052,Diet,1528,Water intake,1528-0.0,continuous,set <1 to 1,"assessment center, age, sex, top 10 PCs, genotyping array",107280,NA,0.0671,0.0038,,56735,NA,0.0718,0.0070,50545,NA,0.0668,0.0079,,0.0854,0.0763,0.0710,0.0698,0.0686,0.0703,0.0671,0.0660,0.0687,0.0680,0.0741,0.0744,0.0696,0.0619,0.0674,0.0673,0.0685,0.0635,0.0699,0.0601,0.0789,0.0816,0.0765,0.0870,0.0791
Life Style and Environment,100052,Diet,6144,"Never eat eggs, dairy, wheat, sugar",6144-0.0~6144-0.3,categorical,never eat eggs or foods containing eggs or not,"assessment center, age, sex, top 10 PCs, genotyping array",107832,2.57%,0.0717,0.0263,,56990,2.48%,0.1598,0.0499,50842,2.67%,0.0201,0.0533,,0.0252,0.0000,0.0000,0.0000,0.0000,0.0382,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0882,0.1343,0.1970,0.2061,0.1659,0.1908,0.1853,0.1943,0.1827,0.1684
Life Style and Environment,100052,Diet,6144,"Never eat eggs, dairy, wheat, sugar",6144-0.0~6144-0.3,categorical,never eat dairy products or not,"assessment center, age, sex, top 10 PCs, genotyping array",107832,2.12%,0.0572,0.0302,,56990,2.22%,0.0500,0.0541,50842,2.00%,0.0081,0.0653,,0.0000,0.0092,0.0000,0.0153,0.0290,0.1267,0.1597,0.1524,0.1995,0.2210,0.2947,0.2458,0.3310,0.2706,0.2283,0.2144,0.1469,0.0822,0.0614,0.1027,0.0716,0.1246,0.1280,0.1371,0.1213
Life Style and Environment,100052,Diet,6144,"Never eat eggs, dairy, wheat, sugar",6144-0.0~6144-0.3,categorical,never eat wheat products or not,"assessment center, age, sex, top 10 PCs, genotyping array",107832,2.68%,0.6912,0.0256,,56990,3.01%,0.9674,0.0437,50842,2.30%,0.3671,0.0592,,1.0000,1.0000,0.9305,0.7123,0.6197,0.6821,0.7416,0.7815,0.6893,0.7654,0.8600,0.8625,0.9002,1.0000,0.7474,0.8719,0.7276,0.7696,0.7207,0.6793,0.6907,0.5699,0.5428,0.3481,0.2626
Life Style and Environment,100052,Diet,6144,"Never eat eggs, dairy, wheat, sugar",6144-0.0~6144-0.3,categorical,never eat sugar or foods/drinks containing sugar or not,"assessment center, age, sex, top 10 PCs, genotyping array",107832,19.12%,0.0918,0.0078,,56990,18.77%,0.1136,0.0146,50842,19.50%,0.0798,0.0161,,0.0726,0.0618,0.0757,0.0792,0.0692,0.0727,0.0799,0.0856,0.0855,0.0994,0.0922,0.1018,0.0882,0.0892,0.1069,0.0935,0.0908,0.0813,0.0739,0.0829,0.0838,0.0809,0.0512,0.0545,0.0734
Life Style and Environment,100053,Electronic device use,1110,Length of mobile phone use,1110-0.0,categorical,use mobile phone or not,"assessment center, age, sex, top 10 PCs, genotyping array",106927,84.51%,0.1038,0.0087,,56447,85.09%,0.1065,0.0165,50480,83.87%,0.0885,0.0178,,0.0857,0.0798,0.0790,0.0791,0.0948,0.1120,0.1121,0.1035,0.1103,0.0988,0.1179,0.1309,0.1165,0.0995,0.1114,0.1096,0.0998,0.1247,0.1135,0.1274,0.1382,0.1305,0.1339,0.1174,0.0980
Life Style and Environment,100053,Electronic device use,1120,Weekly usage of mobile phone in last 3 months,1120-0.0,categorical,"condition on Field 1110, use controls in Field 1110, >=30 mins per week or not","assessment center, age, sex, top 10 PCs, genotyping array",106663,33.02%,0.0677,0.0064,,56243,30.94%,0.0769,0.0121,50420,35.35%,0.0718,0.0130,,0.0789,0.0771,0.0794,0.0947,0.0879,0.0849,0.0806,0.0738,0.0660,0.0562,0.0614,0.0825,0.0865,0.0727,0.0812,0.0691,0.0751,0.0768,0.0878,0.1015,0.1043,0.0904,0.0953,0.0904,0.0868
Life Style and Environment,100053,Electronic device use,2237,Plays computer games,2237-0.0,categorical,sometimes/often vs. never/rarely,"assessment center, age, sex, top 10 PCs, genotyping array",108110,21.81%,0.1464,0.0074,,57130,20.72%,0.1837,0.0140,50980,23.04%,0.1481,0.0150,,0.1173,0.1271,0.1282,0.1446,0.1587,0.1653,0.1463,0.1475,0.1482,0.1553,0.1587,0.1729,0.1916,0.1717,0.1631,0.1409,0.1458,0.1312,0.1221,0.1175,0.1234,0.1115,0.1152,0.1225,0.1202
Life Style and Environment,100054,Physical activity,864,Number of days/week walked 10+ minutes,864-0.0,categorical,"everyday or not, exclusing unable to walk","assessment center, age, sex, top 10 PCs, genotyping array",106331,46.47%,0.0503,0.0060,,56114,46.90%,0.0685,0.0111,50217,45.99%,0.0492,0.0125,,0.0451,0.0519,0.0389,0.0340,0.0313,0.0456,0.0437,0.0623,0.0634,0.0524,0.0449,0.0328,0.0215,0.0482,0.0461,0.0382,0.0417,0.0164,0.0355,0.0304,0.0269,0.0408,0.0409,0.0260,0.0285
Life Style and Environment,100054,Physical activity,874,Duration of walks,874-0.0,continuous,condition on Field 864,"assessment center, age, sex, top 10 PCs, genotyping array",93849,NA,0.0227,0.0043,,48321,NA,0.0054,0.0082,45528,NA,0.0415,0.0087,,0.0121,0.0074,0.0089,0.0040,0.0110,0.0035,0.0101,0.0119,0.0087,0.0181,0.0179,0.0242,0.0242,0.0364,0.0397,0.0274,0.0374,0.0307,0.0424,0.0348,0.0270,0.0246,0.0227,0.0146,0.0087
Life Style and Environment,100054,Physical activity,884,Number of days/week of moderate physical activity 10+ minutes,884-0.0,categorical,any moderate physical activity or not,"assessment center, age, sex, top 10 PCs, genotyping array",102999,86.85%,0.0649,0.0098,,53918,86.91%,0.0707,0.0185,49081,86.78%,0.0437,0.0203,,0.0279,0.0164,0.0330,0.0301,0.0386,0.0246,0.0626,0.0830,0.0762,0.0843,0.0922,0.1051,0.1328,0.1491,0.1393,0.1369,0.1007,0.0874,0.0916,0.0597,0.0476,0.0479,0.0902,0.0647,0.0605
Life Style and Environment,100054,Physical activity,894,Duration of moderate activity,894-0.0,continuous,condition on Field 884,"assessment center, age, sex, top 10 PCs, genotyping array",93101,NA,0.0300,0.0043,,48053,NA,0.0397,0.0083,45048,NA,0.0362,0.0088,,0.0207,0.0208,0.0222,0.0158,0.0178,0.0249,0.0250,0.0415,0.0341,0.0463,0.0510,0.0732,0.0618,0.0654,0.0601,0.0426,0.0312,0.0326,0.0251,0.0230,0.0202,0.0132,0.0151,0.0045,0.0000
